word_en,word_type_id,word_es
comply,Verb_R,"cumplir, consentir, compadecer, acceder, obedecer"
compulsory,Adj,obligatorio
concern,Verb_R,"concernir, atañer, incumbir, preocupar, competer a"
concerned,Adj,"preocupado, ansioso, interesado, afectado, concernido"
confident,Adj,"confiado, seguro"
confident,Sust,"confidente, persona segura"
constraint,Sust,"restricción, coacción, limitación"
cope,Verb_R,"enfrentarse, hacer frente"
core,Sust,"núcleo, centro, corazon, esencia"
core,Verb_R,"quitar el corazón, observar lo del núcleo"
cosy,Adj,acogedor
couch,Sust,"sofa, canape"
council,Sust,consejo
courage,Sust,"valor, coraje, valentia"
cousin,Sust,"primo, prima"
cover,Sust,"cubierta, funda, portada, tapa, refugio, escondite"
cover,Verb_R,"cubrir, forrar, tapar"
craft,Sust,"arte, oficio, trabajo"
cramp,Sust,"calambre, grapa; dar calambre (Verb_R)"
cramped,Adj,"estrecho, apretado, menudo"
craving,Sust,antojo
cream,Sust,"crema, nata"
cross,Adj,"enfadado (cruz (Sust), cruzar, atravesar (Verb_R))"
crowd,Verb_R,"abarrotar, agolparse, llenar de gente, poblar"
crowd,Sust,"multitud, manada, masa"
crowded,Adj,"atestado, lleno de gente"
cue,Sust,"pista, indicio, indirecta, taco, taco de billar"
cue,Verb_R,"pasar la señal, dar la señal, indicar, hacer cola"
cupboard,Sust,"armario, alacena"
curb,Sust,bordillo
curly,Adj,rizado
currency,Sust,moneda
currently,Adv,"actualmente, en este momento"
cutlery,Sust,cubiertos
damage,Sust,"daño, averia (cosas materiales); dañar, estropear (verb_R)"
damn,Sust,"maldito, maldita sea"
dare,Verb_R,"atreverse, osar; atrevimiento (Sust)"
daring,Adj,atrevido
deal,Sust,"trato, arreglo, reparto, acuerdo, negocio"
deal,Verb_I,"negociar, repartir, dar, comerciar, asestar"
dealership,Sust,concesión
debris,Sust,escombros
deck,Sust,"cubierta, baraja, plataforma, piso"
deck,Verb_R,"embellecer, engalanar, ornamentar"
deem,Verb_R,"considerar, estimar, juzgar"
deep,Adj,profundo; depth(Sust): profundidad
definitely,Adv,"definitivamente, sin lugar a dudas"
degree,Sust,"grado, título"
denim,Sust,"jeans, vaqueros"
derail,Verb_R,descarrilar
deserve,Verb_R,merecer
despite,Prep,a pesar de
dweller,Sust,"morador, habitante, residente"
dice,Sust,dados
dig,Verb_R,"cavar, excavar, remover"
dine,Verb_R,cenar; dining: comida (Sust)
disappointment,Sust,"decepción, desilusión"
discourage,Verb_R,"desalentar, disuadir, desanimar"
disease,Sust,"enfermedad, dolencia"
disembark,Verb_R,desembarcar
disgrace,Verb_R,"desgraciar, deshonrar, desgracia (Sust)"
disgusting,Adj,"repugnante, asqueroso"
disposable,Adj,desechable
dive,Verb_R,"bucear; zambullido, chapuzon, clavado (Sust)"
diver,Sust,"buzo, buceador"
dizzy,Adj,"mareado, mareante"
dock,Sust,"muelle, darsena, embarcadero, andén, banquillo acusados"
dock,Verb_R,"ensamblar, atracar, atracar muelle"
draft,Sust,"borrador, bosquejo, corriente de aire, diseño preliminar"
draft,Verb_R,"preparar, hacer borrador, bosquejar, reclutar, forzar"
draught,Sust,cerveza de barril
drawer,Sust,"cajón, dibujante"
drought,Sust,sequía
drown,Verb_R,ahogarse
duck,Sust,"pato, regate, capeada"
duck,Verb_R,"evadir, eludir, esquivar, encubrirse"
duckslins,Sust,patitos
dull,Adj,"aburrido, torpe"
dust,Verb_R,limpiar el polvo; polvo (Sust)
dwarves,Sust,enanos
dye,Verb_R,"teñir, colorar, pigmentar"
dye,Sust,"tinte, colorante"
eager,Adj,"ansioso, impaciente, entusiasmado, ardiente"
ease,Sust,"facilidad, comodidad, desenfado, desembarazo"
ease,Verb_R,"facilitar, aliviar, desahogar, simplificar, aflojar"
