word_en,word_type_id,word_es
sitter,Sust,"cuidador (babysitter, petsitter,...)"
skeleton,Adj,"esquelético, reducido, básico, mínimo"
skeleton,Sust,"esqueleto, estructura, armazon, esquema"
skill,Sust,"habilidad, destreza"
slam,Verb_R,cerrar de golpe; portazo (Sust)
sleeve,Sust,manga
slide,Verb_I,"resbalarse, deslizarse (slide-slid-slid)"
slim,Verb_R,adelgazar
slim,Adj,"delgado, esbelto"
slippy/slippery,Adj,resbaladizo
smack,Verb_R,golpear
smart,Adj,"inteligente, elegante, habil, listo"
snap,Sust,"chasquido, estallido, golpe seco; chasquear (Verb_R)"
soak,Verb_R,"remojar, empapar"
sober,Adj,"sobrio, serio"
solely,Adv,"solamente, exclusivamene, únicamente"
somehow,Adv,"de alguna manera, de algún modo"
somewhat,Adv,"algo, algún tanto, en tanto"
soothing,Adj,"calmante, tranquilizador"
sort,Sust,"tipo, clase, especie, genero, naturaleza"
sort,Verb_R,"clasificar, ordenar, barajar, poner en orden"
sour,Verb_R,"agriar, amargar"
sour,Adj,"agrio, amargo, rancio"
spare,Adj,"de repuesto, libre; escatimar, ahorrar (Verb_R)"
spark,Sust,"chispa, chispazo"
spawn,Verb_R,"desovar, engendrar, generar"
spawn,Sust,"huevas, prole, semillas"
spill,Verb_R,"derramar, verter (spilt-spilt); vertido (Sust)"
splurge,Sust,derroche; derrochar dinero (Verb_R)
spoil,Verb_R,"estropear, arruinar, echar a perder"
spot,Verb_R,manchar
spot,Sust,"mancha, lugar, sitio"
spotless,Adj,"muy limpio, inmaculado"
spread,Verb_R,"difundir, extender, propagar, untar (spread-spread- spread)"
spring,Sust,"primavera, fuente"
squash,Verb_R,aplastar
stagger,Verb_R,"tambalearse, ir haciendo eses"
stall,Sust,"puesto, casilla, tenderete, pesebre, banco iglesia, butaca"
stall,Verb_R,"quedar atascado, atascarse, encallarse, vararse, encenagarse"
stallholder,Sust,tendero puesto
stand,Verb_I,"estar de pie, ponerse de pie, aguantar, resistir"
stand,Sust,"puesto, posición, postura"
stare,Verb_R,mirar fijamente
state,Verb_R,"declarar, manifestar, exponer, presentar, enunciar"
steam,Sust,"vapor; de vapor (Adj); cocer al vapor, echar vapor (Verb_R)"
stick,Sust,"palo, bastón, barra, estaca, madero, garrote"
stick,Verb_I,"pegar, pegarse, adherirse, poner, clavar, plantarse"
stir,Verb_R,remover
stock,Sust,"caldo, valores, stock"
straight,Adj,"recto, derecho"
straighten,Verb_R,enderezar
straightforward,Adj,"honesto, honrado, franco, directo, sincero"
stream,Sust,"corriente, arroyo, riachuelo"
stress,Sust,"estrés, tensión, esfuerzo, presión"
stress,Verb_R,"subrayar, recalcar, acentuar, poner enfasis"
strike,Verb_I,"golpear, atacar; huelga (Sust)"
stripes,Sust,rayas
stroll,Verb_R,"dar un paseo, pasear, darse una vuelta"
stroll,Sust,"paseo, vuelta"
struggle,Sust,"lucha; luchar, forcejear (Verb_R)"
stuff,Verb_R,"meter, empacar, taponar, rellenar, abarrotar"
stuff,Sust,"cosa, chisme, materia"
stunning,Adj,"abrumador, imponente, despampanante"
stylish,Adj,"elegante, con estilo"
subject,Sust,"sujeto, tema, asunto, asignatura, caso"
subject,Adj,sometido
subject,Verb_R,"someter, sojuzgar, dominar"
succeed,Verb_R,"tener exito, triunfar"
such,Pron,"tal, tales, que"
such,Adj,"tal, semejante, parecido"
such,Adv,tan
sudden,Adj,"repentino, rápido"
suit,Verb_R,"satisfacer, venir bien, corresponder, agradar, complacer"
suit,Sust,"traje, vestido, acción judicial, pleito, conjunto"
suitable,Adj,"adecuado, apropiado"
suitcase,Sust,"maleta (contable, puedes usar plural no como en baggage o luggage)"
sulky,Adj,"malhumorado, mohino"
surround,Verb_R,"rodear, circundar"
survey,Sust,"encuesta, inspección, reconocimiento, examinar"
swallow,Verb_R,"tragarse, tragar, engullir"
swan,Sust,cisne
swap,Sust,"trueque, cambio, canje"
swap,Verb_R,"intercambiar, alternar, canjear, permutar, hacer intercambio"
swear,Verb_I,"jurar, prometer, maldecir"
sweat,Verb_R,sudar
sweat,Sust,sudor
sweep,Verb_I,barrer (swept-swept)
swerve,Sust,"viraje; virar, cambiar de dirección (Verb_R)"
tails,Sust,colas
take,Verb_I,"tomar, llevar, coger"
tamper,Verb_R,"manipular, estropear, entremeterse"
tan,Sust,"bronceado; broncearse (Verb_R); marron, canela (Adj)"
tantalize,Verb_R,"atormentar, torturar, tentar, seducir"
tantalizing,Adj,"seductor, tentador, prometedor"
tap,Sust,grifo
target,Sust,"objetivo, blanco"
taste,Verb_R,probar (food or drink)
taste,Sust,"gusto, sabor"
tasty,Adj,sabroso
tear,Verb_I,"rasgar, desgarrar; rasgon, lagrima (Sust)"
tempt,Verb_R,"tentar, seducir, dar ganas a, ser tentador"
tempting,Adj,"tentador, apetecedor, apetecible"
tend,Verb_R,"tender, ser propenso a"
tenth,Sust,"décima, diezmo"
tenth,Adj,décimo
thick,Adj,grueso
threat,Sust,"amenaza, sera advertencia"
threaten,Verb_R,amenazar
thrill,Verb_R,"emocionar, estimular; emoción, escalofrio (Sust)"
throughout,Adv,"en todas partes, por todas partes, todo el tiempo"
throughout,Prep,"a través de, durante todo, a lo largo de"
thumbs,Sust,pulgares
tide,Sust,marea
tidy,Adj,"ordenado, limpio"
tidy,Verb_R,"poner en orden, arreglar, ordenar, limpiar"
tie,Sust,"corbata, lazo, vinculo, atadura"
tie,Verb_R,"atar, amarrar, juntar, unirse"
tied,Adj,"atado, amarrado"
tier,Sust,"fila, grada, nivel, planta, piso"
tightly,Adv,"estrechamente, apretadamente"
tiny,Adj,"diminuto, pequeñito"
tip,Verb_R,dar propina
tip,Sust,propina
tipsy,Adj,"achispado, piripi"
toggle,Sust,"palanca, rotula, cabilla"
toggle,Verb_R,"sujetar con cabilla, alternar"
toll,Sust,"peaje, cuota"
topic,Sust,"tema, asunto"
torch,Sust,"linterna, antorcha"
touching,Adj,"conmovedor, emocionante"
towards,Prep,"hacia, para"
trader,Sust,"comerciante, traficante, vendedor"
trap,Sust,trampa; atrapar (Verb_R)
tray,Sust,"bandeja, cubeta"
treat,Verb_R,tratar
trend,Sust,tendencia; tender a (Verv_R)
trial,Sust,"juicio, ensayo, de prueba (Adj)"
tricky,Adj,"complicado, dificil, tramposo"
trouble,Sust,problema
trousers,Sust,pantalones
ugly,Adj,"feo, asqueroso, inquietante"
uncle,Sust,tío
undertake,Verb_I,"emprender, abordar, acometer, encargarse"
undertaken,Adj,"realizado, llevado a cabo"
unkind,Adj,"cruel, poco amable"
unlike,Adj,"diferente, distinto, dispar"
unlike,Prep,diferente a
upon,Prep,"sobre, a, encima de"
upside down,Adv,al revés
useful,Adj,"útil, conveniente, provechoso, usable, aprovechable"
vacuum,Sust,"vacío, aspirador; pasar aspiradora (Verb_R)"
vase,Sust,"jarrón, florero"
vengeful,Adj,"vengativo, vengador"
vest,Verb_R,"otorgar, investir"
vest,Sust,chaleco
vivacious,Adj,"lleno de vida, alegre, vivaracho, vivaz"
wage,Sust,"salario, paga, jornal, sueldo"
wage,Verb_R,"empeñar, emprender, iniciar"
wake,Sust,"velatorio, estela"
wake,Verb_I,"despertar, despertarse, velar"
wanderer,Sust,"peregrino, cazafortunas, vagabundo"
wardrobe,Sust,armario (closet en UK)
warn,Verb_R,"advertir, avisar"
wary,Adj,"cauteloso, cauto"
waste,Verb_R,"consumir, desaprovechar, malgastar, dilapidar, devastar"
waterfall,Sust,cascada
waterfront,Sust,"frente al mar, litoral"
wavy,Adj,ondulado
weak,Adj,débil
weed,Sust,"mala hierba, maleza; eliminar, desherbar (Verb_R)"
weird,Adj,extraño
well,Sust,"fuente, pozo, manantial"
whenever,Adv,"cuando quiera, cuantas veces, siempre que, cuando"
whether,Conj,"si, tanto (como)"
whisper,Verb_R,susurrar; susurro (Sust)
whole,Adj,"todo, entero, total, integro, intacto, ileso"
whole,Sust,"conjunto, totalidad, el todo"
wide,Adj,ancho; width(Sust): anchura
widen,Verb_R,ensanchar
will,Sust,"voluntad, testamento"
will,Verb_R,"querer, lograr por fuerza de voluntad, legar, dejar en testamento"
willing,Adj,"de buena voluntad, dispuesto a, complaciente"
wipe,Verb_R,"limpiar, pasar un trapo"
wisdom,Sust,"sabiduria, saber"
wise,Adj,sabio
withdraw,Verb_I,"retirar, extraer, substraer, sustraer, remover"
witness,Sust,testigo
wonder,Sust,maravilla
wonder,Verb_R,"preguntarse, desear saber"
workout,Sust,entrenamiento
workshop,Sust,taller
worth,Adj,"que vale la pena, digno, meritorio"
worth,Sust,"valor, merito, el valer"
wound,Sust,"herida, lesión; herir (Verb_R)"
wrap,Sust,"envoltura, chal, manto"
wrap,Verb_R,"envolver, abrigarse, embalar, enrollarse, plegarse"
wreck,Verb_R,"arruinar, hundir; naufragio, ruina (Sust)"
yard,Sust,"yarda, patio; acorralar (Verb_R)"
yawn,Verb_R,bostezar
yawn,Sust,"bostezo, aburrimiento"
